horodatage;timezone;sha_model;groupe;ticker;source;spot;prob_ml;seuil_ml;prob_implicite;ratio;direction;decision;raison;side;strike;expiry;dte;bid;ask;mid;iv;delta;theta_jour;vega;cout_entree_ask;ret_1s;ret_3s;ret_5s;exit_bid_1s;exit_bid_3s;exit_bid_5s;pnl_option_est_5s_pct;resultat_direction_seule;statut
2026-07-14T11:11:15-04:00;America/New_York;11fa6982d2cf3659;scan;PBR;yahoo;17.835;0.1317;0.323;0.3555;0.37;0.537;rejet_prob;prob 0.132 < seuil 0.323;;;;;;;;;;;;;0.0014;;;;;;;;en_attente
2026-07-14T11:11:15-04:00;America/New_York;11fa6982d2cf3659;A;PBR;yahoo;17.835;0.1317;0.323;0.3555;0.37;0.537;rejet_prob;prob 0.132 < seuil 0.323;call;18.5;2026-08-07;24.0;0.4;0.9;0.65;0.6348;0.45;-0.0248;0.0181;90.0;0.0014;;;0.3;;;;;en_attente
2026-07-14T11:11:15-04:00;America/New_York;11fa6982d2cf3659;scan;GOLD;yahoo;38.785;0.3675;0.323;0.3527;1.042;-0.106;rejet_ratio;options déjà chères : ratio 1.04 < 1.5 (p_implicite 0.353);;;;;;;;;;;;;0.01998;;;;;;;;en_attente
2026-07-14T11:11:16-04:00;America/New_York;11fa6982d2cf3659;scan;CLF;yahoo;9.77;0.0431;0.323;0.4211;0.102;-0.117;rejet_prob;prob 0.043 < seuil 0.323;;;;;;;;;;;;;0.00819;;;;;;;;en_attente
2026-07-14T11:11:17-04:00;America/New_York;11fa6982d2cf3659;scan;CCL;yahoo;26.6;0.1469;0.323;0.1972;0.745;0.056;rejet_prob;prob 0.147 < seuil 0.323;;;;;;;;;;;;;-0.00038;;;;;;;;en_attente
2026-07-14T11:11:18-04:00;America/New_York;11fa6982d2cf3659;scan;RIOT;yahoo;20.41;0.0602;0.323;0.318;0.189;-0.286;rejet_prob;prob 0.060 < seuil 0.323;;;;;;;;;;;;;-0.01519;;;;;;;;en_attente
2026-07-14T11:11:19-04:00;America/New_York;11fa6982d2cf3659;scan;TLRY;yahoo;4.33;0.3496;0.323;0.6555;0.533;-0.202;rejet_ratio;options déjà chères : ratio 0.53 < 1.5 (p_implicite 0.655);;;;;;;;;;;;;0.01155;;;;;;;;en_attente
2026-07-14T11:11:19-04:00;America/New_York;11fa6982d2cf3659;scan;BAC;yahoo;61.005;0.2131;0.323;0.1836;1.161;0.45;rejet_prob;prob 0.213 < seuil 0.323;;;;;;;;;;;;;0.00959;;;;;;;;en_attente
2026-07-14T11:11:19-04:00;America/New_York;11fa6982d2cf3659;A;BAC;yahoo;61.005;0.2131;0.323;0.1836;1.161;0.45;rejet_prob;prob 0.213 < seuil 0.323;call;62.0;2026-08-07;24.0;1.01;1.1;1.055;0.2412;0.427;-0.0339;0.0614;110.0;0.00959;;;1.29;;;;;en_attente
2026-07-14T11:11:20-04:00;America/New_York;11fa6982d2cf3659;scan;AGNC;yahoo;11.2;0.1601;0.323;0.2369;0.676;0.239;rejet_prob;prob 0.160 < seuil 0.323;;;;;;;;;;;;;0.01071;;;;;;;;en_attente
